playercard_no,playercard_box,playercard_name,playercard_unique,playercard_type,playercard_cost,playercard_sphere,playercard_special_rules,playercard_count,playercard_keyword1,playercard_keyword2,playercard_keyword3,playercard_keyword4,playercard_trait1,playercard_trait2,playercard_trait3,playercard_trait4,playercard_ally_quest,playercard_ally_attack,playercard_ally_defence,playercard_ally_hp,playercard_ally_secrecy
11,23,Ravens of the Mountain,,Event,1,Lore,Action: Exhaust a hero you control to shuffle the encounter decks and reveal [Erratad to look at] its top card. Place progress tokens on the current quest equal to the revealed cards [Threat]. Then put that card back on top of the encounter deck.,3,,,,,,,,,,,,,
12,23,To Me! O My Kinsfolk!,,Event,1,Leadership,Action: If you control at least 1 Dwarf hero put a Dwarf ally from your discard pile into play under your control. Put that ally on the bottom of your deck at the end of a phase.,3,,,,,,,,,,,,,
13,23,The Lucky Number,,Event,1,Baggins,Action: Choose a character in play [other than Bilbo Baggins]. Add Bilbo Baggins total [Willpower] [Attack] and [Defense] to that characters [Willpower] [Attack] and [Defense] respectively until the end of the phase. ,3,,,,,,,,,,,,,
6,24,Fili,1,Ally,3,Leadership,Response: After you play Fili from your hand during the planning phase search your deck for Kili and put him into play under your control. Then shuffle your deck. ,3,,,,,dwarf,,,,1,1,1,2,
7,24,Kili,1,Ally,3,Spirit,Response: After you play Kili from your hand during the planning phase search your deck for Fili and put him into play under your control. Then shuffle your deck. ,3,,,,,dwarf,,,,1,1,1,2,
8,24,Bofur,1,Ally,3,Tactics,Action: Exhaust Bofur to search the top 5 cards of your deck for 1 Weapon attachment. Add that card to your hand and shuffle the other cards back into your deck.,3,,,,,dwarf,,,,2,2,0,3,
9,24,Dori,1,Ally,3,Lore,Response: After a hero is assigned any amount of damage exhaust Dori to place that damage on Dori instead.,3,,,,,dwarf,,,,1,2,1,3,
10,24,Gandalf,1,Ally,5,Neutral,"Gandalf does not exhaust to commit to a quest.
Forced: At the end of the refresh phase discard Gandalf from play. You may raise your threat by 2 to cancel this effect. ",3,,,,,istari,,,,4,4,4,4,
11,24,Cram,,Attachment,0,Leadership,Attach to a hero. Action: Discard Cram to ready attached hero. ,3,,,,,item,,,,,,,,
12,24,Spare Hood and Cloak,,Attachment,0,Spirit,Action: Exhaust Spare Hood and Cloak and exhaust attached character to ready another character. Then attach Spare Hood and Cloak to that character. ,3,,,,,item,,,,,,,,
13,24,Thrors Map,1,Attachment,1,Lore,Attach to a hero. Action: Exhaust Thrors Map to choose a location in the staging area. Make that location the active location. [If there is another active location return it to the staging area.] ,3,,,,,item,artifact,,,,,,,
14,24,A Very Good Tale,,Event,0,Leadership,Action: Exhaust 2 allies you control to shuffle your deck and discard the top 5 cards. Put up to 2 allies discarded by this effect into play under your control. The total cost of the allies put into play cannot exceed the total cost of the allies exhausted to pay for this effect. ,3,,,,,,,,,,,,,
15,24,Foe-hammer,,Event,0,Tactics,Response: After a hero you control attacks and destroys an enemy exhaust a Weapon card attached to that hero to draw 3 cards.,3,,,,,,,,,,,,,
16,24,Goblin-cleaver,,Event,0,Tactics,Combat Action: Exhaust a Weapon card attached to a hero you control to choose an enemy engaged with you. Deal 2 damage to that enemy. [Deal 3 damage instead if the enemy is an Orc.],3,,,,,,,,,,,,,
17,24,Late Adventurer,,Event,0,Spirit,Quest Action: Exhaust a character you control that is not committed to the quest to commit that character to the quest.,3,,,,,,,,,,,,,
18,24,Expecting Mischief,,Event,1,Lore,"Play during the quest phase before the staging step.
Action: Deal 2 damage to the first enemy revealed from the encounter deck this phase.",3,,,,,,,,,,,,,
19,24,Burglar Baggins,,Event,1,Baggins,Action: Bilbo Baggins gets +2 [Willpower] +2 [Attack] and +2 [Defense] until the end of the phase. [You may spend a [Baggins] resource from Bilbo Baggins resource pool to play this card even if you do not control Bilbo Baggins.],3,,,,,,,,,,,,,
119,7,Eagles of the Misty Mountains,,Ally,4,Tactics,"Eagles of the Misty Mountains cannot have restricted attachments.  Eagles of the Misty Mountains gets +1 Attack and +1 Defense for each facedown attachment it has.
Response: After another Eagle character leaves play you may attach that card facedown to Eagles of the Misty Mountains.",3,,,,,creature,eagle,,,2,2,2,4,
121,7,West Road Traveller,,Ally,2,Spirit,Response: After you play West Road Traveller from your hand switch the active location with any other location in the staging area.,3,,,,,rohan,,,,2,0,0,1,
123,7,Mirkwood Runner,,Ally,3,Lore,While Mirkwood Runner is attacking alone the defending enemy does not count its Defense.,3,,,,,silvan,scout,,,1,2,0,2,
117,7,Dunedain Signal,,Attachment,1,Leadership,"Attach to a hero. Attached hero gains sentinel.
Action: Pay 1 resource from attached heros pool to attach Dunedains Signal to another hero.",3,,,,,signal,,,,,,,,
120,7,Support of the Eagles,,Attachment,3,Tactics,"Attach to a Tactics hero.
Action: Exhaust Support of the Eagles to choose an Eagle ally.  Until the end of the phase attached hero adds that allys Attack or Defense [choose 1] to its own.",3,,,,,boon  ,,,,,,,,
118,7,Dawn Take You All,,Event,2,Leadership,"Play after shadow cards have been dealt before any attacks have resolved.
Combat Action: Each player may choose and discard 1 facedown shadow card from an enemy with which he is engaged.",3,,,,,,,,,,,,,
122,7,Astonishing Speed,,Event,3,Spirit,Action: Until the end of the phase all Rohan characters get +2 Willpower.,3,,,,,,,,,,,,,
124,7,Rumour from the Earth,,Event,0,Lore,Action: Look at the top card of the encounter deck.  Then you may pay 1 Lore resource to return Rumour from the Earth to your hand.,3,,,,,,,,,,,,,
125,7,Shadow of the Past,,Event,2,Neutral,Action: Move the top card of the encounter discard pile to the top of the encounter deck.,3,,,,,,,,,,,,,
29,10,Dunedain Wanderer,,Ally,5,Leadership,,3,ranged,sentinel,secrecy 3,,dunedain,ranger,,,1,2,2,2,
33,10,Rider of the Mark,,Ally,3,Spirit,"Action: Spend 1 Spirit resource to give control of Rider of the Mark to another player. [Limit once per round.]
Response: After Rider of the Mark changes control discard a shadow card dealt to an enemy you are engaged with. ",3,,,,,rohan,,,,2,1,1,2,
35,10,Bombur,1,Ally,3,Lore,Action: Exhaust Bombur to choose a location. That location gets   -1 Threat until the end of the phase. [That location does not contribute its Threat instead if it is an Underground location.] ,3,,,,,dwarf,,,,0,0,1,3,
31,10,Rivendell Blade,,Attachment,1,Tactics,"Attach to a Noldor or Silvan character. Restricted.
When attached character attacks an enemy that enemy gets -2 Defense until the end of the phase. ",3,restricted,,,,item,weapon,,,,,,,
34,10,Song of Erendil,,Attachment,1,Spirit,"Attach to a Spirit hero. Response: After Song of EÑrendil enters play draw 1 card.
Response: After another player raises his threat raise your threat by 1 to reduce that players threat by 1. ",3,,,,,song,,,,,,,,
30,10,Lure of Moria,,Event,3,Leadership,Action: Ready all Dwarf characters.,3,,,,,,,,,,,,,
32,10,Hail of Stones,,Event,1,Tactics,Action: Exhaust X characters to deal X damage to an enemy in the staging area. ,3,,,,,,,,,,,,,
36,10,Out of the Wild,,Event,3,Lore,Action: Search the top 5 cards of the encounter deck for any 1 non-objective card worth no victory points and add it to your victory display. Shuffle the encounter deck. ,3,secrecy 2,,,,,,,,,,,,2
37,10,The End Comes,,Event,0,Neutral,Response: After a Dwarf character leaves play shuffle the encounter discard pile back into the encounter deck. ,3,,,,,,,,,,,,,
134,14,Master of the Forge,,Ally,2,Lore,Action: Exhaust Master of the Forge to search the top 5 cards of your deck for any 1 attachment and add it to your hand. Shuffle the other cards back into your deck. ,3,,,,,noldor,craftsman,,,0,0,1,1,
130,14,Hardy Leadership,1,Attachment,2,Leadership,Unique. Attach to a [Leadership] hero. Each Dwarf character gets +1 hit point.,3,,,,,,,,,,,,,
133,14,Miruvor,,Attachment,1,Spirit,Attach to a hero. Action: Discard Miruvor to [choose two]: ready attached hero add 1 resource to attached heros resource pool attached hero gets +1 [Willpower] until the end of the round or put Miruvor on the top of your deck.,3,,,,,item,,,,,,,,
137,14,Vilya,1,Attachment,2,Neutral,"Attach to Elrond. He gains a [Spirit] resource icon.
Action: Exhaust Elrond and Vilya to reveal the top card of your deck. You can immediately play or put into play the revealed card for no cost if able. Otherwise move the revealed card to the bottom of your deck. ",3,,,,,ring,artifact,,,,,,,
129,14,We Are Not Idle,,Event,0,Leadership,Action: Exhaust X Dwarf characters to add X resources to a heros resource pool and draw 1 card. ,3,,,,,,,,,,,,,
131,14,Hands Upon the Bow,,Event,1,Tactics,Action: Exhaust a character you control with ranged to immediately declare it as an attacker [and resolve its attack] against an enemy in the staging area. It gets +1 [Attack] during this attack. ,3,,,,,,,,,,,,,
132,14,O Elbereth! Gilthonial!,,Event,4,Spirit,Response: After an enemy attacks you put that enemy on the bottom of the encounter deck. If your threat is lower than that enemys engagement cost set your threat equal to the engagement cost of that enemy.,3,secrecy 4,,,,,,,,,,,,4
135,14,Peace and Thought,,Event,1,Lore,Refresh Action: Exhaust 2 heroes to draw 5 cards. ,3,,,,,,,,,,,,,
136,14,Risk Some Light,,Event,3,Lore,Action: Look at the top 3 cards of the encounter deck. You may select 1 card and move it to the bottom of the encounter deck. Return any unselected cards to the top of the encounter deck in any order. ,3,secrecy 3,,,,,,,,,,,,3
6,28,Bill the Pony,1,Ally,2,Leadership,"Lower the cost to play Bill the Pony by 2 if you control Sam Gamgee. Cannot have attachments.
Each Hobbit character gets +1 hit point.",3,,,,,creature,pony,,,1,1,0,2,
7,28,Barliman Butterbur,1,Ally,2,Lore,If each hero you control has the Hobbit trait damage from undefended attacks against you may be assigned to Barliman Butterbur.,3,,,,,bree,,,,1,0,1,3,
8,28,Farmer Maggot,1,Ally,3,Tactics,Response: After Farmer Maggot enters play deal 1 damage to an enemy engaged with you. [Deal 2 damage instead if that enemys engagement cost is highger than your threat.],3,,,,,hobbit,,,,1,2,0,2,
13,28,Hobbit Cloak,,Attachment,1,Leadership,"Attach to a Hobbit hero. Limit 1 per hero.
Attached hero gets +2 [Defense] while defending against an attack made by an enemy with an engagement cost higher than your threat. ",3,,,,,item,,,,,,,,
14,28,Dagger of Westernesse,,Attachment,1,Tactics,"Attach to a hero. Restricted.
Attached hero gets +1 [Attack] [+2 [Attack instead if attacking an enemy with an engagement cost higher than your threat]. ",3,,,,,item,artifact,weapon,,,,,,
15,28,Hobbit Pipe,,Attachment,0,Spirit,"Attach to a Hobbit. Limit 1 per character.
Response: After your threat is reduced by an event card effect exhaust Hobbit Pipe to draw a card.",3,,,,,item,pipe,,,,,,,
16,28,Elf-stone,,Attachment,1,Lore,"Attach to the active location. Attached location gets +1 quest point. 
Response: After attached location leaves play as an explored location the first player puts 1 ally into play from his hand.",3,,,,,artifact,item,,,,,,,
17,28,Mr. Underhill,,Attachment,0,Neutral,"Setup: Attach to the Ring-bearer.
Action: Add Mr. Underhill to the victory display to choose an enemy engaged with you. Until the end of the round that enemy cannot attack you.",1,permanent ,,,,boon,title,,,,,,,
18,28,Tireless Ranger,,Attachment,0,Neutral,"Setup: Attach to a hero.
Attached hero gets +1 [Defense] and gains the Ranger trait.",1,permanent ,,,,boon,title,,,,,,,
19,28,Skilled Healerr,,Attachment,0,Neutral,"Setup: Attach to a hero. 
Attached hero gets +2 hit points and gains the Healer trait.",1,permanent ,,,,boon,title,,,,,,,
20,28,Valiant Warrior,,Attachment,0,Neutral,"Setup: Attach to a hero.
Attached hero gets +1 [Attack] and gains the Warrior trait. ",1,permanent ,,,,boon,title,,,,,,,
21,28,Noble Hero,,Attachment,,Neutral,"Setup: Attach to a hero.
Attached hero gets +1 [Willpower] and gains the Noble trait.",1,permanent ,,,,boon,title,,,,,,,
9,28,Halfling Determination,,Event,1,Tactics,Action: Choose a Hobbit character. That character gets +2 [Willpower] +2 [Attack] and +2 [Defense] until the end of the phase. ,3,,,,,,,,,,,,,
10,28,Smoke Rings,,Event,2,Spirit,Action: Reduce your threat by 1 for each Pipe you control. Each hero with a Pipe attachment gets +1 [Willpower] until the end of the phase.,3,,,,,,,,,,,,,
11,28,Take No Notice,,Event,3,Lore,"Lower the cost to play Take No Notice by 1 for each Hobbit or Ranger hero you control.
Action: Add 5 to each enemys engagement cost until the end of the round. ",3,,,,,,,,,,,,,
12,28,Frodos Intuition,,Event,2,Fellowship,Action: Each hero you control gets +1 [Willpower] until the end of the round. Draw 1 card for each Hobbit hero you control.,3,,,,,,,,,,,,,
108,20,Squire of the Citadel,,Ally,1,Leadership,Response: After Squire of the Citadel leaves play add 1 resource to a Gondor heros resource pool.,3,,,,,gondor,,,,0,0,1,1,
110,20,Guthlaf,1,Ally,3,Tactics,"If there is at least 1 Rohan hero in play lower the cost to play Guthlaf by 1.
If there is at least 1 Gondor hero in play Guthlaf gains sentinel. ",3,,,,,rohan,,,,1,1,2,2,
112,20,Emery,1,Ally,3,Spirit,Action: Discard the top 3 cards of your deck to put Emery into play from your hand under any players control. Then if any of the discarded cards have the [Tactics] [Lore] or [Leadership] sphere discard Emery.,3,,,,,gondor,,,,1,1,2,2,
114,20,Anborn,1,Ally,4,Lore,Action: Exhaust Anborn to return 1 Trap card from your discard pile to your hand. ,3,,,,,gondor,ranger,,,,,,,
109,20,Tome of Atanatar,1,Attachment,4,Leadership,"Attach to a [Leadership] hero. 
Reduce the cost to play Tome of Atanator by 1 for each hero you control with a printed [Leadership] resource icon.
Action: Discard Tome of Atanator to play any [Leadership] event card in your discard pile as if it were in your hand. Then place that event on the bottom of your deck.",3,,,,,record,,,,,,,,
115,20,Poisoned Stakes,,Attachment,2,Lore,"Play Poisoned Stakes into the staging area unattached.
If unattached attach Poisoned Stakes to the next eligible enemy that enters the staging area.
At the end of each round deal 2 damage to attached enemy.",3,,,,,trap,,,,,,,,
111,20,The Hammer-stroke,,Event,2,Tactics,Encounter Action: Engage each enemy in play.,3,,,,,,,,,,,,,
113,20,Children of the Sea,,Event,0,Spirit,Action: Choose a Silvan or Noldor ally you control. That ally gets +2 [Willpower] until the end of the phase. At the end of the phase shuffle that ally into its owner?s deck if it is still in play. ,3,,,,,,,,,,,,,
116,20,Well-Equipped,,Event,0,Neutral,Action: Discard the top 2 cards of your deck. You may attach 1 attachment card discarded by this effect to an eligible Dwarf character in play. ,3,,,,,,,,,,,,,
96,6,Dunedain Watcher,,Ally,3,Leadership,Response: Discard Dunedain Watcher from play to cancel the shadow effects of a card just triggered.,3,,,,,hobbit,,,,1,1,1,2,
98,6,Vassal of the Windlord,,Ally,1,Tactics,"Vassal of the Windlord cannot have restricted attachments.
Forced: After an attack in which Vassal of the Windlord attacked resolves discard Vassal of the Windlord from play.",3,ranged,,,,creature,eagle,,,0,3,0,1,
100,6,Elfhelm,,Ally,4,Spirit,While Elfhelm is ready he gains:Response: After your threat is raised as the result of questing unsuccessfully or by an encounter or quest card effect reduce your threat by 1.,3,,,,,rohan,warrior,,,1,2,2,3,
102,6,Silvan Tracker,,Ally,3,Lore,Response: After a Silvan character readies during the refresh phase heal 1 damage from that character.,3,,,,,silvan,,,,1,1,1,3,
97,6,Dunedain Cache,,Attachment,2,Leadership,"Attach to a hero. Attached hero gains ranged.
Action: Pay 1 resource from attached heros pool to attach Dunedain Cache to another hero.",3,,,,,item,,,,,,,,
99,6,Song of Mocking,,Attachment,1,Tactics,"Attach to a hero.
Action: Exhaust Song of Mocking to choose another hero.  Until the end of the phase attached hero takes all damage assigned to the chosen hero.",3,,,,,song,,,,,,,,
103,6,Fast Hitch,,Attachment,1,Lore,"Attach to a Hobbit character.
Action: Exhaust Fast Hitch to ready attached character.",3,,,,,skill,,,,,,,,
104,6,Song of Battle,,Attachment,1,Neutral,Attach to a hero. Attached hero gains a Tactics resource icon.,3,,,,,song,,,,,,,,
101,6,We Do Not Sleep,,Event,5,Spirit,Action: Until the end of the phase Rohan characters do not exhaust to commit to quests.,3,,,,,,,,,,,,,
33,17,Forlong,1,Ally,3,Leadership,While you control Outlands allies that belong to 4 different spheres ready Forlong at the beginning of each phase.,3,,,,,outlands ,,,,1,1,1,3,
37,17,Silvan Refugee,,Ally,1,Spirit,Forced: After a character leaves play discard Silvan Refugee from play.,3,,,,,silvan,,,,2,0,0,1,
39,17,Harbor Master,,Ally,3,Lore,Response: After a card effect adds any number of resources to the resource pool of a hero you control Harbor Master gains +1 [Defense] until the end of the round.,3,,,,,,,,,1,2,0,3,
41,17,White Tower Watchman,,Ally,3,Neutral,If each hero you control belongs to the same sphere of influence you may assign damage from undefended enemy attacks to the White Tower Watchman instead of a hero you control.,3,,,,,gondor,,,,1,0,2,3,
35,17,Mighty Prowess,,Attachment,1,Tactics,"Attach to a [Tactics] hero. Limit 1 per hero.
Response: After attached hero attacks and destroys an enemy deal 1 damage to another enemy that shares a Trait with the enemy just destroyed.",3,,,,,skill,,,,,,,,
34,17,Strength of Arms,,Event,2,Leadership,"Play only if each hero you control has a printed [Leadership] resource icon.
Action: Ready each ally in play.",3,,,,,,,,,,,,,
36,17,Trained for War,,Event,2,Tactics,"Play only if each hero you control has a printed [Tactics] resource icon.
Action: Until the end of the phase if the current quest has no keyword it gains battle.
[Characters quest using [Attack] instead of [Willpower].]",3,,,,,,,,,,,,,
38,17,Against the Shadow,,Event,2,Spirit,"Play only if each hero y ou control has the printed [Spirit] resource icon.
Action: Until the end of the phase [Spirit] characters use their [Willpower] instead of [Defense].",3,,,,,noldor,,,,,,,,
40,17,Advance Warning,,Event,2,Lore,"Play only if each hero you control has a printed [Lore] resource icon.
Action: Until the end of the phase enemies do not make engagement checks.",3,,,,,,,,,,,,,
73,5,Keen-eyed Took,,Ally,2,Leadership,"Response: After Keen-eyed Took enters play reveal the top card of each players deck.
Action: Return Keen-eyed Took to your hand to discard the top card of each players deck.",3,,,,,hobbit,,,,1,0,0,2,
75,5,Descendant of Thorondor,,Ally,4,Tactics,"Descendant of Thorondor cannot have restricted attachments.
Response: After Descendant of Thorondor enters or leaves play deal 2 damage to any 1 enemy in the staging area.",3,,,,,creature,eagle,,,1,2,1,2,
77,5,The Riddermarks Finest,,Ally,2,Spirit,Action: Exhaust and discard The Riddermarks Finest to place 2 progress tokens on any location.,3,,,,,creature,rohan,,,1,1,0,2,
79,5,Gildor Inglorion,,Ally,5,Lore,Action: Exhaust Gildor Inglorion to look at the top 3 cards of your deck. Switch one of those cards with a card from your hand. Then return the 3 cards to the top of your deck in any order.,3,,,,,noldor,,,,3,2,3,3,
81,5,Song of Travel,,Attachment,1,Neutral,Attach to a hero. Attached hero gains a Spirit resource icon.,3,,,,,song,,,,,,,,
74,5,Rear Guard,,Event,1,Leadership,Quest Action: Discard a Leadership ally to give each hero committed to this quest +1 Willpower until the end of the phase.,3,,,,,,,,,,,,,
76,5,Meneldors Flight,,Event,0,Tactics,Action: Choose an Eagle ally.  Return that character to its owners hand.,3,,,,,,,,,,,,,
78,5,Ride to Ruin,,Event,1,Spirit,Action: Discard a Rohan ally to choose a location. Place 3 progress tokens on that location.,3,,,,,,,,,,,,,
80,5,Gildors Counsel,,Event,3,Lore,"Play during the Quest phase before characters are committed to the Quest.
Action: Reveal 1 less card from the encounter deck this phase. [To a minimum of 1.]",3,,,,,,,,,,,,,
77,12,Erestor,1,Ally,4,Leadership,Action: Choose and discard 1 card from your hand to draw 1 card. [Limit once per round.] ,3,,,,,noldor,,,,2,0,1,3,
79,12,Erebor Battle Master,,Ally,3,Tactics,Erebor Battle Master gets +1 [Attack] for each other Dwarf character you control.,3,,,,,dwarf,warrior,,,0,1,1,2,
83,12,Warden of Healing,,Ally,2,Lore,Action: Exhaust Warden of Healing to heal 1 damage on up to 2 different characters. Then you may pay 2 [Lore] resources to ready Warden of Healing. ,3,,,,,gondor,healer,,,1,0,1,1,
80,12,Ring Mail,,Attachment,2,Tactics,Attach to a Dwarf or Hobbit character. Restricted. Attached character gets +1 hit point and +1 [Defense]. ,3,restricted,,,,item,armour,,,,,,,
82,12,Ever My Heart Rises,,Attachment,0,Spirit,Attach to a Dwarf character. Response: After you travel to a Mountain or Underground location ready attached character and reduce your threat by 1. ,3,,,,,condition,,,,,,,,
85,12,Love of Tales,,Attachment,0,Lore,Attach to a [Lore] hero. Limit 1 per hero. Response: After a Song card is played add 1 resource to attached heros resource pool. ,3,,,,,condition,,,,,,,,
78,12,Fresh Tracks,,Event,1,Leadership,Response: After an enemy is added to the staging area deal 1 damage to that enemy. Players ignore that enemy while making engagement checks this round. ,3,,,,,,,,,,,,,
81,12,Out of Sight,,Event,5,Spirit,Action: Enemies engaged with you cannot attack this phase.,3,secrecy 3,,,,,,,,,,,,3
84,12,Word of Command,,Event,1,Lore,Action: Exhaust an Istari character to search your deck for 1 card and add it to your hand. Shuffle your deck. ,3,,,,,,,,,,,,,
135,21,Pelargir Ship Captain,,Ally,2,Leadership,Response: After Pelargir Ship Captain enters play move 1 resource from the resource pool of a hero you control to another heros resource pool. ,3,,,,,gondor,,,,1,1,0,2,
141,21,Ered Nimrais Prospector,,Ally,2,Lore,Response: After Ered Nimrais Prospector enters play discard the top 3 cards of your deck. Then choose and shuffle 1 card from your discard pile back into your deck. ,3,,,,,dwarf,,,,1,1,1,2,
136,21,Visionary Leadership,,Attachment,2,Leadership,"Attach to a Gondor hero.
While attached hero has at least 1 resource in its resource pool Gondor characters get +1 [Willpower]. ",3,,,,,skill,,,,,,,,
137,21,Spear of the Mark,,Attachment,1,Tactics,"Attach to a Rohan character. Restricted.
Attached character gets +1 [Attack]. [+2 [Attack] instead if attacking an enemy in the staging area]. ",3,,,,,item,weapon,,,,,,,
139,21,Steed of the Mark,,Attachment,1,Spirit,"Attach to a Gondor or Rohan hero.
Response: After attached hero commits to a quest spend 1 resource from attached heros resource pool to ready attached hero. ",3,,,,,mount,,,,,,,,
142,21,Scroll of Isildur,,Attachment,4,Lore,"Attach to a [Lore] hero.
Reduce the cost to play Scroll of Isildur by 1 for each hero you control with a printed [Lore] resource icon.
Action: Discard Scroll of Isildur to play any [Lore] event card in your discard pile as if it were in your hand. Then place that event on the bottom of your deck. ",3,,,,,record,,,,,,,,
138,21,Forth Eorlingas!,,Event,2,Tactics,Combat Action: Each Rohan hero can be declared as an attacker against enemies in the staging area this phase. ,3,,,,,,,,,,,,,
140,21,Lay of Nimrodel,,Event,1,Spirit,Action: Choose a [Spirit] hero. Until the end of the phase that hero gets +1 [Willpower] for each resource in its resource pool. ,3,,,,,song,,,,,,,,
143,21,Hidden Cache,,Event,0,Neutral,"Response: After Hidden Cache is discarded from your deck add 2 resources to the resource pool of a hero you control.
Action: Spend 1 resource to draw 1 card. ",3,,,,,,,,,,,,,
6,9,Bofur,1,Ally,3,Spirit,Quest Action: Spend 1 Spirit resource to put Bofur into play from your hand exhausted and committed to a guest.  If you quest successfully this phase and Bofur is still in play return him to your hand.,3,,,,,dwarf,,,,2,1,1,3,
8,9,Ravenhill Scout,,Ally,3,Lore,Action: Exhaust Ravenhill Scout to move up to 2 progress tokens from 1 location to another location.,3,,,,,dale,scout,,,0,1,1,3,
5,9,Keeping Count,,Attachment,0,Tactics,Attach to a hero. Limit 1 per hero. Attached hero gets +1 Attack for each resource token on another copy of Keeping Count that is above the current number of resource tokens on this card.    Forced: After attached hero attacks and destroys an enemy place 1 resource token on this card.,3,,,,,,,,,,,,,
10,9,Good Meal,,Attachment,0,Neutral,Attach to a Hobbit hero. Action: Discard Good Meal to lower the cost of the next event you play this round that matches attached heros sphere by 2.,3,,,,,,,,,,,,,
2,9,Taking Initiative,,Event,0,Leadership,Action: Discard the top card of your deck. If the discarded cards printed cost is equal to or higher than the number of characters you control draw 2 cards and deal 2 damage to any enemy.,3,,,,,,,,,,,,,
3,9,Timely Aid,,Event,4,Leadership,Action: Reveal the top 5 cards of your deck and put 1 revealed ally into play if able. Shuffle all other revealed cards back into your deck.,3,secrecy 3,,,,,,,,,,,,3
4,9,Unseen Strike,,Event,0,Tactics,Action: Choose a character you control.  Until the end of the phase that character gets +3 Attack while attacking an enemy with a higher engagement cost than your threat.,3,,,,,,,,,,,,,
7,9,Renewed Friendship,,Event,0,Spirit,Response: After another player plays an attachment on a hero you control you may [choose 1]: ready 1 of that players heroes have that player draw 1 card or lower that players threat by 2.,3,,,,,,,,,,,,,
9,9,Needful to Know,,Event,2,Lore,Action: Raise your threat by 1 to look at the top card of the encounter deck. Then reduce your threat by X where X is the threat of that card.,3,Secrecy 2.,,,,,,,,,,,,2
2,16,Warrior of Lossarnach,,Ally,2,Leadership,Each Outlands character you control gets +1 [Defense],3,,,,,outlands ,,,,1,1,1,1,
4,16,Knights of the Swan,,Ally,1,Tactics,Each Outlands character you control gets +1 [Attack],3,,,,,outlands ,,,,0,0,0,1,
6,16,Ethir Swordsman,,Ally,2,Spirit,Each Outlands character you control gets +1 [Willpower],3,,,,,outlands ,,,,1,1,1,1,
8,16,Anfalas Herdsman,,Ally,1,Lore,Each Outlands character you control gets +1 hit point.,3,,,,,outlands ,,,,0,0,0,1,
5,16,Gondorian Shield,,Attachment,1,Tactics,"Attach to a hero. Restricted.
Limit 1 per hero.
Attached hero gains +1 [Defense]. [+2 [Defense] instead if attached hero has the Gondor trait.]",3,restricted,,,,armour,item,,,,,,,
7,16,Ring of Barahir,1,Attachment,1,Spirit,"Attach to a hero.
Attached hero gets +1 hit points for each Artifact attachment attached to it.
If attached hero is Aragorn he also gains a [Lore] resource icon.",3,,,,,artifact,item,ring,,,,,,
3,16,Gaining Strength,,Event,0,Leadership,Action: Discard 2 resources from your heros resource pool to add 3 resources to that heros resource pool.,3,,,,,,,,,,,,,
9,16,Mithrandirs Advice,,Event,1,Lore,Action: Draw 1 card for each hero you control with a printed [Lore] resource icon.,3,,,,,,,,,,,,,
10,16,A Good Harvest,,Event,0,Neutral,Action: Name a sphere. Until the end of the phase you can spend resources of any sphere when paying for cards that belong to the named sphere.,3,,,,,,,,,,,,,
3,22,Saruman,1,Ally,3,Neutral,"At the end of the round discard Saruman from play.
Response: After Saruman enters play choose a non-unique enemy or location in the staging area. While Saruman is in play the chosen enemy or location is considered to be out of play.",3,doomed 3,,,,istari,isengard,,,3,5,4,4,
4,22,Orthanc Guard,,Ally,2,Leadership,Response: After you raise your threat from the Doomed keyword read Orthanc Guard.,3,,,,,isengard  ,,,,1,0,2,2,
5,22,Isengard Messenger,,Ally,2,Lore,Response: After you raise your threat from the Doomed keyword Isengard Messenger gets +1 [Willpower] until the end of the round. [Limit twice per round.],3,,,,,isengard  ,,,,1,0,1,2,
6,22,Westfold Outrider,,Ally,2,Tactics,Action: Discard Westfold Outrider to choose an enemy not engaged with you. Engage the chosen enemy.,3,,,,,rohan,sout,,,0,2,1,2,
7,22,Westfold Horse-breeder,,Ally,1,Spirit,Response: After Westfold Horse-breeder enters play search the top 10 cards of your deck for a Mount attachment and add it to your hand. Shuffle your deck.,3,,,,,rohan,,,,1,0,0,1,
8,22,Rohan Warhorse,,Attachment,1,Tactics,"Attach to a [Tactics] or Rohan hero. Restricted.
Response: After attached hero participates in an attack that destroys an enemy exhaust Rohan Warhorse to read attached hero.",3,,,,,mount,,,,,,,,
9,22,Silver Lamp,,Attachment,2,Spirit,"Attach to a [Spirit] hero.
While attached hero is ready shadow cards dealt to enemies engaged with you are dealt face up. [Shadow card effects are still resolved when resolving enemy attacks.]",3,,,,,item,,,,,,,,
10,22,Keys of Orthanc,1,Attachment,1,Neutral,"Attach to a hero.
Response: After you raise your threat from the Doomed keyword exhaust Keys of Orthanc to add 1 resource to attached hero?s resource pool.",3,,,,,item,,,,,,,,
11,22,Legacy of N£menor,,Event,0,Leadership,Action: Add 1 resource to each heros resource pool.,3,doomed 4,,,,,,,,,,,,
12,22,Deep Knowledge,,Event,0,Lore,Action: Each player draws 2 cards.,3,doomed 2  ,,,,,,,,,,,,
13,22,The Wizards Voice,,Event,0,Tactics,Action: Each player chooses 1 enemy engaged with him. Until the end of the phase each chosen enemy cannot attack the player that chose it.,3,doomed 3  ,,,,,,,,,,,,
14,22,Power of Orthanc,,Event,0,Spirit,Action: Each player may choose and discard a Condition attachment from play. ,3,doomed 2  ,,,,,,,,,,,,
